Al Klink
Artie Bernstein
Artie Shaw
Art Tatum
Art Van Damme
Barney Bigard
Bea Wain
Benny Goodman
Ben Webster
Billy Butterfield
Bob Eberly
Bob Haggart
Buck Clayton
Buddy Rich
Bud Freeman
Bunny Berigan
Cab Calloway
Charlie Barnet
Charlie Christian
Charlie Parker
Charlie Spivak
Chick Webb
Coleman Hawkins
Cootie Williams
Count Basie
Dick Haymes
Django Reinhardt
Duke Ellington
Earle Warren
Earl Hines
Eddie Miller
Eddie South
Ernie Caceres
Erskine Hawkins
Fats Waller
Fletcher Henderson
Frank Sinatra
Freddie Green
Fred Rich
Gene Krupa
Georgie Auld
Glen Gray
Glenn Miller
Gloria Parker
Gordon Goodwin
Hal Kemp
Harry Edison
Harry James
Helen Forrest
Helen Ward
Herschel Evans
Hot Lips Page
Jack Jenney
Jack Teagarden
Jelly Roll Morton
Jess Stacy
Jimmie Lunceford
Jimmy Blanton
Jimmy Dorsey
Joe Venuti
John Kirby
Johnny Hodges
John Serry Sr.
Jo Jones
Kay Kyser
Kitty Kallen
Les Brown
Lester Young
Lionel Hampton
Louis Armstrong
Louis Jordan
Louis Prima
Marion Hutton
Martha Tilton
Milt Hinton
Nat Jaffe
Nat King Cole
Oscar Aleman
Otto Hardwick
Peanuts Hucko
Ray Eberle
Ray Nance
Red Norvo
Roy Eldridge
Sam Butera
Sid Catlett
Slam Stewart
Sonny Greer
Stephane Grapelli
Svend Asmussen
Teddy Wilson
Tex Beneke
Tiny Hill
Tommy Dorsey
Tony Pastor
Toshiko Akiyoshi
Vido Musso
Walter Page
Willie Smith
Woody Herman
Ziggy Elman
