Albert Ayler
Anthony Braxton
Art Blakey
Artie Shaw
Art Pepper
Art Tatum
Bennie Golson
Bennie Moten
Benny Carter
Benny Goodman
Ben Webster
Bill Evans
Billie Holiday
Billy Strayhorn
Bix Beiderbecke
Bud Powell
Cannonball Adderley
Carla Bley
Cecil Taylor
Charles Mingus
Charlie Christian
Charlie Haden
Charlie Parker
Chet Baker
Chick Corea
Chick Webb
Clifford Brown
Coleman Hawkins
Count Basie
Dave Brubeck
David Murray
Dexter Gordon
Dizzy Gillespie
Django Reinhardt
Donald Byrd
Duke Ellington
Earl Hines
Ella Fitzgerald
Elvin Jones
Eric Dolphy
Erroll Garner
Evan Parker
Fats Navarro
Fats Waller
Fletcher Henderson
Freddie Hubbard
George Russell
Gerry Mulligan
Gil Evans
Glenn Miller
Hank Mobley
Herbie Hancock
Horace Silver
Jack Teagarden
Jaco Pastorius
James Carter
Jelly Roll Morton
Jimmie Lunceford
Jimmy Giuffre
Jimmy Smith
J. J. Johnson
Joe Henderson
John Coltrane
John McLaughlin
Johnny Dodds
Johnny Hodges
Keith Jarrett
King Oliver
Lee Konitz
Lee Morgan
Lennie Tristano
Lester Young
Lionel Hampton
Louis Armstrong
Mary Lou Williams
Max Roach
McCoy Tyner
Meade Lux Lewis
Miles Davis
Modern Jazz Quartet
Ornette Coleman
Oscar Peterson
Pat Metheny
Paul Chambers
Philly Joe Jones
Rahsaan Roland Kirk
Ron Carter
Roy Eldridge
Sarah Vaughan
Sidney Bechet
Sonny Rollins
Stan Getz
Stan Kenton
Sun Ra
Teddy Wilson
Thelonious Monk
Wayne Shorter
Wes Montgomery
Woody Herman
Wynton Marsalis
